future_month,total_ecl,n_loans_active
1,40942663.04515842,1348059
2,57985692.34245641,1348059
3,83862474.21948794,1348059
4,104862375.60763153,1348059
5,116006637.79474664,1348059
6,123727672.29988372,1348059
7,125873182.46435964,1348059
8,127466292.38287629,1348059
9,127810059.99186857,1348059
10,126145341.570143,1348059
11,125706919.46213397,1348059
12,121489425.20286006,1348059
13,111117524.6755953,1348059
14,104121284.1148078,1348059
15,95999288.72621748,1348059
16,88263301.69536284,1348059
17,81777520.19251357,1348059
18,76145145.25421327,1348059
19,68710203.55943416,1348059
20,62779753.662596636,1348059
21,59009700.311199754,1348059
22,54439520.97846917,1348059
23,51231407.269092456,1348059
24,46122274.21855225,1348059
25,40904146.921161726,1348059
26,36555509.066789635,1348059
27,32649126.642578967,1348059
28,28015404.631813332,1348059
29,25085667.74154696,1348059
30,21990076.366850656,1348059
31,18991176.045940746,1348059
32,16845096.44932101,1348059
33,15255494.413232664,1348059
34,12635733.580215445,1348059
35,11257839.721456643,1348059
36,9044033.243291773,1348059
37,7695062.093562584,324878
38,7027628.9566346025,324878
39,6264452.933611874,324878
40,5447271.101853861,324878
41,4401806.91718264,324878
42,3707790.1385947927,324878
43,3172372.497905759,324878
44,2827186.57519223,324878
45,2278091.9095187047,324878
46,2164304.0545051694,324878
47,1750350.007985254,324878
48,1434107.733332981,324878
49,1142527.5734417257,324878
50,963340.9457807319,324878
51,724717.289182562,324878
52,554179.9475792067,324878
53,430472.3326865989,324878
54,332730.69354142674,324878
55,221992.58766253034,324878
56,169682.3856273196,324878
57,143448.08409089645,324878
58,95478.39070652513,324878
59,55637.86127286946,324878
60,23387.51581243677,324878
