index,feature_name,is_ref_cat,coefficient,p_value,category
0,const,False,-1.3327906630659578,0.0,INTERCEPT
1,grade:A,False,1.6397783240824637,0.0,CHARACTER
2,grade:B,False,1.101522312538452,0.0,CHARACTER
3,grade:C,False,0.6171151511381152,0.0,CHARACTER
4,grade:D,False,0.2896959198266847,0.0,CHARACTER
5,grade:E,False,0.123402076386465,0.0001,CHARACTER
6,grade:F,False,0.10390870750626437,0.0002,CHARACTER
7,verification_status:Source Verified,False,-0.041109595335956074,0.0,CHARACTER
8,verification_status:Not Verified,False,0.11410279866794613,0.0,CHARACTER
9,inq_last_6mths:0,False,0.2545562857530134,0.0,CHARACTER
10,inq_last_6mths:1,False,0.15206656322083137,0.0,CHARACTER
11,inq_last_6mths:2,False,0.08079372305455956,0.0,CHARACTER
12,mths_since_earliest_cr_line:250-350,False,-0.027344348706570747,0.0,CHARACTER
13,mths_since_earliest_cr_line:>350,False,0.05687747210305018,0.0,CHARACTER
14,annual_inc:30K-40K,False,0.09539138026147188,0.0,CAPACITY
15,annual_inc:40K-50K,False,0.1733551433128383,0.0,CAPACITY
16,annual_inc:50K-60K,False,0.2093979105510096,0.0,CAPACITY
17,annual_inc:60K-70K,False,0.2614240558787982,0.0,CAPACITY
18,annual_inc:70K-80K,False,0.30767467062649906,0.0,CAPACITY
19,annual_inc:80K-90K,False,0.34637850160076417,0.0,CAPACITY
20,annual_inc:90K-100K,False,0.3805510786667652,0.0,CAPACITY
21,annual_inc:100K-120K,False,0.4355935922054854,0.0,CAPACITY
22,annual_inc:120K-150K,False,0.4369435734048836,0.0,CAPACITY
23,annual_inc:>150K,False,0.4397912594878137,0.0,CAPACITY
24,dti:<8.6,False,0.5273092381165998,0.0,CAPACITY
25,dti:8.6-11,False,0.47040274914211655,0.0,CAPACITY
26,dti:11-12.6,False,0.43379682514827006,0.0,CAPACITY
27,dti:12.6-15,False,0.3810851127321779,0.0,CAPACITY
28,dti:15-18.2,False,0.3227214202872827,0.0,CAPACITY
29,dti:18.2-22.2,False,0.25280727637758416,0.0,CAPACITY
30,dti:22.2-26.2,False,0.16493682685825778,0.0,CAPACITY
31,dti:26.2-30.2,False,0.06675456757661223,0.0,CAPACITY
32,installment:<116.359,False,0.5376578746995999,0.0,CAPACITY
33,installment:116.359-218.708,False,0.3093382838480877,0.0,CAPACITY
34,installment:218.708-321.058,False,0.18593469720286565,0.0,CAPACITY
35,installment:321.058-423.407,False,0.14329354567831631,0.0,CAPACITY
36,installment:423.407-798.687,False,0.06901767270956763,0.0,CAPACITY
37,total_rev_hi_lim:20K-30K,False,0.04015365989423944,0.0,CAPITAL
38,total_rev_hi_lim:30K-40K,False,0.06713538360341778,0.0,CAPITAL
39,total_rev_hi_lim:40K-55K,False,0.10632055081570944,0.0,CAPITAL
40,total_rev_hi_lim:55K-95K,False,0.16337123888750224,0.0,CAPITAL
41,total_rev_hi_lim:>95K,False,0.2547911633699368,0.0,CAPITAL
42,home_ownership:OWN,False,0.13952455575258188,0.0,CAPITAL
43,home_ownership:MORTGAGE,False,0.29701106809609623,0.0,CAPITAL
44,int_rate:5.284_9.419,False,0.2443890632586799,0.0,CONDITIONS
45,int_rate:9.419_11.987,False,0.06152338367966134,0.039,CONDITIONS
46,int_rate:11.987_13.014,False,0.19135784357652166,0.0,CONDITIONS
47,int_rate:13.014_15.068,False,0.13051124575094758,0.0,CONDITIONS
48,int_rate:15.068_17.123,False,0.23044691553972624,0.0,CONDITIONS
49,int_rate:17.123_22.772,False,0.18103075263918597,0.0,CONDITIONS
50,term:36,False,0.576782410740804,0.0,CONDITIONS
51,purpose:debt_consolidation,False,0.15664819010767125,0.0,CONDITIONS
52,purpose:educational_other,False,0.15404682330170777,0.0,CONDITIONS
53,purpose:vacation_major_purchase_home_improvement,False,0.10854985598019905,0.0,CONDITIONS
54,purpose:credit_card_car_wedding,False,0.19126758974538338,0.0,CONDITIONS
55,addr_state:LA_NV_TN_SD,False,0.0830673812144912,0.0,CONDITIONS
56,addr_state:NY,False,0.09223416341432791,0.0,CONDITIONS
57,addr_state:IN_NM_MO,False,0.1350476773110559,0.0,CONDITIONS
58,addr_state:FL,False,0.12693137100036406,0.0,CONDITIONS
59,addr_state:KY_MD_ND_IA_NJ_OH_PA_NC_ID,False,0.1399320932731635,0.0,CONDITIONS
60,addr_state:HI_MI_VA_DE_MN_AZ,False,0.19460747564114517,0.0,CONDITIONS
61,addr_state:TX_AK,False,0.19366710908028728,0.0,CONDITIONS
62,addr_state:CA,False,0.2176487311593928,0.0,CONDITIONS
63,addr_state:MA_GA_RI_IL_UT,False,0.28065224516607373,0.0,CONDITIONS
64,addr_state:WI_CT_MT_WY_SC_KS,False,0.3875579933546816,0.0,CONDITIONS
65,addr_state:WV_WA_CO_ME_OR_NH_VT_DC,False,0.5211891291191719,0.0,CONDITIONS
