bin_center,train_proportion,test_proportion,train_count,test_count
305.0,0.0,0.0,0,0
315.0,0.0,0.0,0,0
325.0,0.0,0.0,0,0
335.0,0.0,3.788180120388364e-06,0,1
345.0,1.8448839983063965e-06,1.1364540361165093e-05,2,3
355.0,1.568151398560437e-05,4.545816144466037e-05,17,12
365.0,0.00010239106190600501,0.0002007735463805833,111,53
375.0,0.00029979364972478945,0.0003674534716776713,325,97
385.0,0.0007084354553496563,0.0010228086325048584,768,270
395.0,0.0014602256846595128,0.0019395482216388424,1583,512
405.0,0.0026547880735629044,0.003068425897514575,2878,810
415.0,0.00430042460005221,0.004299584436640793,4662,1135
425.0,0.006349168280171464,0.006223979937798082,6883,1643
435.0,0.00883145969989272,0.008030941855223333,9574,2120
445.0,0.011361718103569942,0.010402342610586448,12317,2746
455.0,0.01399990222114809,0.01220172816777092,15177,3221
465.0,0.017233061428180048,0.014459483519522386,18682,3817
475.0,0.01997548149166251,0.0170922687031923,21655,4512
485.0,0.0231311555707656,0.020638005295875807,25076,5448
495.0,0.026028545890105795,0.024861826130108833,28217,6563
505.0,0.029883431004567012,0.028975789740850598,32396,7649
515.0,0.03369403890306887,0.03379056667386421,36527,8920
525.0,0.03763378868145218,0.03851063910386811,40798,10166
535.0,0.04126083062212256,0.04354891866398464,44730,11496
545.0,0.04370899168787515,0.047143901598233194,47384,12445
555.0,0.04622264613556761,0.04970849953973611,50109,13122
565.0,0.047148777902717424,0.05108739710355748,51113,13486
575.0,0.048089668741853685,0.051007845321029324,52133,13465
585.0,0.0483258138936369,0.05147757965595748,52389,13589
595.0,0.04811180734983336,0.0499092730861167,52157,13175
605.0,0.04665342654917216,0.04851143462169339,50576,12806
615.0,0.04399679359161094,0.04582182673621765,47696,12096
625.0,0.04178570011964073,0.0414767841381322,45299,10949
635.0,0.03744745539762324,0.03677565260873024,40596,9708
645.0,0.03409437873070136,0.03152523496187197,36961,8322
655.0,0.030232114080246918,0.027380965910167098,32774,7228
665.0,0.027074595117145522,0.0235056576470098,29351,6205
675.0,0.024885640253154984,0.02160399122657484,26978,5703
685.0,0.023810995324141507,0.020550877153106877,25813,5425
695.0,0.023730742870215177,0.02153201580428746,25726,5684
705.0,0.023366378280549664,0.021524439444046684,25331,5682
715.0,0.022261292765564135,0.021944927437409795,24133,5793
725.0,0.019822356119803076,0.019819758389871923,21489,5232
735.0,0.016040343923274965,0.01711878596403502,17389,4519
745.0,0.010924480595971326,0.012429018974994223,11843,3281
755.0,0.0068242259097353606,0.008519617090753431,7398,2249
765.0,0.0036353439186627545,0.0048715996348194365,3941,1286
775.0,0.0016982157204410379,0.0027123369661980687,1841,716
785.0,0.0007619370913005417,0.0014092030047844716,826,372
795.0,0.0002647408537569679,0.0006515669807067987,287,172
805.0,0.00011346036589584338,0.0001894090060194182,123,50
815.0,3.228546997036194e-05,7.197542228737892e-05,35,19
825.0,7.379535993225586e-06,1.5152720481553456e-05,8,4
835.0,1.8448839983063965e-06,7.576360240776728e-06,2,2
