Original feature name,PSI,Stability
mths_since_earliest_cr_line,0.38130730635151233,Major shift (>0.25)
verification_status,0.19515844660073167,Minor shift (0.10–0.25)
total_rev_hi_lim,0.1621414017283434,Minor shift (0.10–0.25)
int_rate,0.10842621783260117,Minor shift (0.10–0.25)
installment,0.07117349345553614,Stable (<0.10)
purpose,0.0657606060637152,Stable (<0.10)
dti,0.06454046999992184,Stable (<0.10)
annual_inc,0.05540234453855202,Stable (<0.10)
grade,0.048481841191200775,Stable (<0.10)
Score,0.0464717785994789,Stable (<0.10)
inq_last_6mths,0.017595899774567922,Stable (<0.10)
addr_state,0.011437575968163069,Stable (<0.10)
home_ownership,0.010150107054610492,Stable (<0.10)
term,0.0009258952999806039,Stable (<0.10)
