bin_lower,bin_upper,train_pct,monitoring_pct,difference,psi_contribution
300,325,0.0,0.0,0.0,0.0
325,350,1.8448720857939316e-06,0.0,-1.8448720857939316e-06,0.0003919098921951455
350,375,0.0002315314467671384,0.0,-0.0002315314467671384,0.00011042663654098369
375,400,0.0023549792175159537,0.0,-0.0023549792175159537,0.007123743170755756
400,425,0.009897738740284443,0.004094631483166515,-0.005803107257117928,0.005121994234924676
425,450,0.023599603721475973,0.012283894449499545,-0.011315709271976428,0.007388489513920372
450,475,0.040881442985150625,0.03503184713375796,-0.005849595851392664,0.0009032868551144294
475,500,0.05948790040642532,0.047315741583257506,-0.012172158823167814,0.002786571031554515
500,525,0.08199533985311129,0.07597816196542312,-0.0060171778876881715,0.00045860798668434575
525,550,0.10418453886499779,0.10009099181073704,-0.004093547054260752,0.0001640859387599502
550,575,0.11727298387766284,0.1164695177434031,-0.0008034661342597449,5.523688392291635e-06
575,600,0.12062696132963621,0.11555959963603275,-0.005067361693603459,0.00021747296302794788
600,625,0.11223187090323092,0.11237488626023658,0.00014301535700565748,1.821262669202228e-07
625,650,0.09174548882653222,0.08507734303912648,-0.006668145787405738,0.0005031619891673796
650,675,0.06973339753488192,0.07097361237488627,0.0012402148400043472,2.1863483339918735e-05
675,700,0.060000774846276035,0.06915377616014559,0.009153001313869556,0.0012994990879897591
700,725,0.05601492870491825,0.06733393994540492,0.011319011240486669,0.002083220763870513
725,750,0.03639932625271427,0.052775250227479524,0.016375923974765255,0.006083525898731005
750,775,0.01145204347256583,0.026387625113739762,0.014935581641173932,0.012467132827474327
775,800,0.0017323348885605017,0.008644222020018199,0.006911887131457697,0.011110312373107651
800,825,0.00015127951103510238,0.00045495905368516835,0.000303679542650066,0.00033437493356355764
825,850,3.689744171587863e-06,0.0,-3.689744171587863e-06,0.0003177865779946161
850,875,0.0,0.0,0.0,0.0
